data_classification,invoice_id,invoice_date,period_start,period_end,contract_id,line_id,line_number,job_id,service_date,service_type,quantity,unit_rate_pence,line_amount_pence,currency,tax_basis
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-052,52,JOB-052,2026-08-24,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-053,53,JOB-053,2026-08-25,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-054,54,JOB-054,2026-08-26,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-055,55,JOB-055,2026-08-27,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-056,56,JOB-056,2026-08-28,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-057,57,JOB-057,2026-08-01,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-058,58,JOB-058,2026-08-02,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-059,59,JOB-059,2026-08-03,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-060,60,JOB-060,2026-08-04,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-061,61,JOB-061,2026-08-05,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-062,62,JOB-062,2026-08-06,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-063,63,JOB-063,2026-08-07,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-064,64,JOB-064,2026-08-08,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-065,65,JOB-065,2026-08-09,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-066,66,JOB-066,2026-08-10,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-067,67,JOB-067,2026-08-11,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-068,68,JOB-068,2026-08-12,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-069,69,JOB-069,2026-08-13,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-070,70,JOB-070,2026-08-14,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-071,71,JOB-071,2026-08-15,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-072,72,JOB-072,2026-08-16,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-073,73,JOB-073,2026-08-17,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-074,74,JOB-074,2026-08-18,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-075,75,JOB-075,2026-08-19,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-076,76,JOB-076,2026-08-20,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-077,77,JOB-077,2026-08-21,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-078,78,JOB-078,2026-08-22,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-079,79,JOB-079,2026-08-23,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-080,80,JOB-080,2026-08-24,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-081,81,JOB-081,2026-08-25,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-082,82,JOB-082,2026-08-26,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-083,83,JOB-083,2026-08-27,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-084,84,JOB-084,2026-08-28,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-085,85,JOB-085,2026-08-01,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-086,86,JOB-086,2026-08-02,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-087,87,JOB-087,2026-08-03,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-088,88,JOB-088,2026-08-04,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-089,89,JOB-089,2026-08-05,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-090,90,JOB-090,2026-08-06,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-091,91,JOB-091,2026-08-07,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-092,92,JOB-092,2026-08-08,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-093,93,JOB-093,2026-08-09,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-094,94,JOB-094,2026-08-10,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-095,95,JOB-095,2026-08-11,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-096,96,JOB-096,2026-08-12,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-097,97,JOB-097,2026-08-13,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-098,98,JOB-098,2026-08-14,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-099,99,JOB-099,2026-08-15,standard_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-100,100,JOB-100,2026-08-16,standard_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-101,101,JOB-101,2026-08-17,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-102,102,JOB-102,2026-08-18,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-103,103,JOB-103,2026-08-19,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-104,104,JOB-104,2026-08-20,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-105,105,JOB-105,2026-08-21,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-106,106,JOB-001,2026-08-01,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
